;CHARGE;NB;EXPO;FREQ;COUT_MOYEN;ANNEE_EXPO;ANNEE_VEHICULE;ZONE_RISQUE;AGE_ASSURE;ANCIENNETE_PERMIS;ANCIENNETE_ASSURE;GENRE_ASSURE;NB_KM;SECOND_CONDUCTEUR;FORMULE;MODALITE_PAIEMENT;AGE_VEHICULE_;ENERGIE_;NIVEAU_ANTIVOL;PUISSANCE;VALEUR_VEHICULE;LEASING;POIDS_PUISSANCE;RC_PREC_AN1;RC_PREC_AN2;DM_PREC;BIV_PREC;ZONE_GEO
0;4121.41;1;1.0;1.0;4121.41;2021;2019;D;(45,55];(25,60];(1,2];M;(5k,15k];NON;L1;MENSUEL;(1,2];DIESEL;1;(110,130];(35k,80k];NON;(17,18];0.0;0.0;0.0;0.0;62
1;0.0;0;0.24109589041095889;0.0;0.0;2021;2019;D;(45,55];(25,60];(-1,0];M;(5k,15k];;L1;TRIMESTRIEL;(-1,0];DIESEL;2;(110,130];(35k,80k];OUI;(15,16];0.0;0.0;0.0;0.0;84
2;0.0;0;0.9984953963620031;0.0;0.0;2022;2019;D;(45,55];(25,60];(1,2];M;(5k,15k];;L1;ANNUEL;(1,2];DIESEL;1;(110,130];(35k,80k];NON;(15,16];0.0;0.0;0.0;0.0;85
3;0.0;0;1.0;0.0;0.0;2021;2019;D;(45,55];(25,60];(0,1];M;(5k,15k];NON;L1;ANNUEL;(0,1];DIESEL;1;(110,130];(35k,80k];NON;(13,15];0.0;0.0;0.0;0.0;58
4;0.0;0;0.8575342465753425;0.0;0.0;2021;2019;D;(45,55];(25,60];(-1,0];M;(5k,15k];;L1;TRIMESTRIEL;(0,1];DIESEL;2;(130,700];(35k,80k];NON;(10,13];0.0;0.0;0.0;0.0;85
5;0.0;0;0.42191780821917807;0.0;0.0;2024;2019;D;(45,55];(25,60];(2,5];M;(5k,15k];;L1;ANNUEL;(3,4];DIESEL;1;(110,130];(35k,80k];NON;(13,15];0.0;0.0;0.0;0.0;48
6;0.0;0;0.9863387978142076;0.0;0.0;2023;2019;D;(45,55];(25,60];(-1,0];M;(15k,30k];NON;L1;ANNUEL;(3,4];DIESEL;1;(110,130];(35k,80k];NON;(15,16];0.0;0.0;0.0;0.0;54
7;0.0;0;0.9788232652144622;0.0;0.0;2022;2019;D;(45,55];(25,60];(-1,0];M;(5k,15k];NON;L1;ANNUEL;(3,4];ESSENCE;1;(130,700];(35k,80k];NON;(0,10];0.0;0.0;0.0;0.0;48
8;2500.0;1;1.0;1.0;2500.0;2023;2019;D;(45,55];(25,60];(0,1];M;(30k,40k];;L1;ANNUEL;(0,1];DIESEL;1;(130,700];(35k,80k];NON;(10,13];0.0;0.0;0.0;0.0;48
9;0.0;0;0.06284153005464481;0.0;0.0;2022;2019;D;(45,55];(25,60];(-1,0];M;(5k,15k];NON;L1;MENSUEL;(1,2];ESSENCE;1;(130,700];(35k,80k];NON;(0,10];0.0;0.0;0.0;0.0;84
10;0.0;0;0.8328767123287671;0.0;0.0;2024;2019;D;(45,55];(25,60];(2,5];M;(5k,15k];;L1;ANNUEL;(3,4];ESSENCE;2;(130,700];(35k,80k];NON;(0,10];0.0;0.0;0.0;0.0;85
11;5697.29;2;0.6054794520547945;3.30316742081448;2848.645;2022;2019;D;(45,55];(25,60];(2,5];M;(15k,30k];;L1;TRIMESTRIEL;(2,3];ESSENCE;2;(130,700];(35k,80k];NON;(0,10];0.0;0.0;0.0;0.0;85
12;0.0;0;0.8328767123287671;0.0;0.0;2024;2019;D;(45,55];(25,60];(2,5];M;(5k,15k];;L1;ANNUEL;(3,4];DIESEL;2;(130,700];(35k,80k];NON;(10,13];0.0;0.0;0.0;0.0;85
13;0.0;0;1.0;0.0;0.0;2020;2019;D;(45,55];(25,60];(0,1];M;(40k,60k];;L1;TRIMESTRIEL;(0,1];DIESEL;1;(130,700];(35k,80k];NON;(10,13];0.0;0.0;0.0;0.0;26
14;0.0;0;1.0;0.0;0.0;2023;2019;D;(45,55];(25,60];(1,2];M;(15k,30k];OUI;L1;ANNUEL;(1,2];ESSENCE;2;(130,700];(35k,80k];NON;(0,10];1.0;0.0;0.0;0.0;58
15;0.0;0;0.5232876712328767;0.0;0.0;2024;2019;D;(45,55];(25,60];(1,2];M;(5k,15k];NON;L1;MENSUEL;(2,3];ESSENCE;1;(110,130];(35k,80k];NON;(13,15];0.0;0.0;0.0;0.0;10
